DID,turns,emotion,set
MPATHY-000001,5,sentimental,train
MPATHY-000002,5,afraid,train
MPATHY-000003,4,proud,train
MPATHY-000004,3,faithful,train
MPATHY-000005,4,terrified,train
MPATHY-000007,3,joyful,train
MPATHY-000008,3,angry,train
MPATHY-000010,4,sad,train
MPATHY-000011,3,jealous,train
MPATHY-000013,0,terrified,train
MPATHY-000014,3,grateful,train
MPATHY-000015,4,sad,train
MPATHY-000016,3,prepared,train
MPATHY-000019,3,embarrassed,train
MPATHY-000021,4,angry,train
MPATHY-000022,5,afraid,train
MPATHY-000023,4,excited,train
MPATHY-000024,3,annoyed,train
MPATHY-000025,3,angry,train
MPATHY-000026,3,lonely,train
MPATHY-000027,4,proud,train
MPATHY-000028,5,sentimental,train
MPATHY-000029,4,joyful,train
MPATHY-000030,6,ashamed,train
MPATHY-000031,4,guilty,train
MPATHY-000032,3,surprised,train
MPATHY-000033,3,nostalgic,train
MPATHY-000034,5,confident,train
MPATHY-000035,4,annoyed,train
MPATHY-000036,3,guilty,train
MPATHY-000037,3,furious,train
MPATHY-000039,3,guilty,train
MPATHY-000040,5,terrified,train
MPATHY-000041,6,furious,train
MPATHY-000042,3,disappointed,train
MPATHY-000043,3,faithful,train
MPATHY-000044,3,caring,train
MPATHY-000045,3,sad,train
MPATHY-000046,3,disappointed,train
MPATHY-000047,3,grateful,train
MPATHY-000048,3,sentimental,train
MPATHY-000049,4,excited,train
MPATHY-000050,5,excited,train
MPATHY-000051,4,caring,train
MPATHY-000052,4,afraid,train
MPATHY-000053,3,annoyed,train
MPATHY-000054,5,trusting,train
MPATHY-000055,3,guilty,train
MPATHY-000056,4,disgusted,train
MPATHY-000057,5,furious,train
MPATHY-000058,3,angry,train
MPATHY-000059,3,sad,train
MPATHY-000060,3,anticipating,train
MPATHY-000061,4,anxious,train
MPATHY-000063,3,nostalgic,train
MPATHY-000064,3,surprised,train
MPATHY-000065,3,proud,train
MPATHY-000066,3,sad,train
MPATHY-000067,4,joyful,train
MPATHY-000070,3,afraid,train
MPATHY-000071,4,angry,train
MPATHY-000072,3,anxious,train
MPATHY-000073,4,disgusted,train
MPATHY-000075,5,hopeful,train
MPATHY-000076,3,sentimental,train
MPATHY-000078,4,furious,train
MPATHY-000079,3,jealous,train
MPATHY-000080,4,confident,train
MPATHY-000082,3,content,train
MPATHY-000083,3,proud,train
MPATHY-000084,3,impressed,train
MPATHY-000085,3,furious,train
MPATHY-000086,3,prepared,train
MPATHY-000087,4,trusting,train
MPATHY-000088,4,afraid,train
MPATHY-000089,3,surprised,train
MPATHY-000090,4,excited,train
MPATHY-000091,5,furious,train
MPATHY-000092,4,anxious,train
MPATHY-000093,3,angry,train
MPATHY-000094,3,disappointed,train
MPATHY-000095,3,excited,train
MPATHY-000096,6,embarrassed,train
MPATHY-000097,5,terrified,train
MPATHY-000099,3,hopeful,train
MPATHY-000100,3,hopeful,train
MPATHY-000101,3,annoyed,train
MPATHY-000103,3,caring,train
MPATHY-000104,5,annoyed,train
MPATHY-000105,5,furious,train
MPATHY-000106,4,afraid,train
MPATHY-000107,3,hopeful,train
MPATHY-000108,3,prepared,train
MPATHY-000109,3,grateful,train
MPATHY-000111,3,terrified,train
MPATHY-000112,6,excited,train
MPATHY-000113,6,ashamed,train
MPATHY-000114,3,apprehensive,train
MPATHY-000115,4,surprised,train
MPATHY-000116,5,guilty,train
MPATHY-000117,4,lonely,train
MPATHY-000118,3,lonely,train
MPATHY-000119,4,disgusted,train
MPATHY-000120,4,sad,train
MPATHY-000121,3,proud,train
MPATHY-000122,3,furious,train
MPATHY-000123,3,ashamed,train
MPATHY-000124,7,confident,train
MPATHY-000125,6,sad,train
MPATHY-000126,3,guilty,train
MPATHY-000127,3,disgusted,train
MPATHY-000128,3,annoyed,train
MPATHY-000129,3,anxious,train
MPATHY-000130,3,surprised,train
MPATHY-000131,4,disappointed,train
MPATHY-000132,3,afraid,train
MPATHY-000133,4,nostalgic,train
MPATHY-000134,3,grateful,train
MPATHY-000135,3,devastated,train
MPATHY-000136,4,joyful,train
MPATHY-000137,3,prepared,train
MPATHY-000138,3,impressed,train
MPATHY-000139,4,sad,train
MPATHY-000140,3,faithful,train
MPATHY-000141,4,afraid,train
MPATHY-000142,3,lonely,train
MPATHY-000143,4,guilty,train
MPATHY-000144,3,sad,train
MPATHY-000145,3,anxious,train
MPATHY-000146,4,confident,train
MPATHY-000147,3,afraid,train
MPATHY-000148,3,proud,train
MPATHY-000149,4,grateful,train
MPATHY-000150,3,anticipating,train
MPATHY-000151,3,hopeful,train
MPATHY-000152,3,sad,train
MPATHY-000153,4,surprised,train
MPATHY-000154,4,sad,train
MPATHY-000155,4,faithful,train
MPATHY-000156,4,jealous,train
MPATHY-000157,3,sad,train
MPATHY-000158,3,joyful,train
MPATHY-000159,4,hopeful,train
MPATHY-000160,3,excited,train
MPATHY-000161,3,caring,train
MPATHY-000162,3,lonely,train
MPATHY-000163,4,embarrassed,train
MPATHY-000164,3,anticipating,train
MPATHY-000165,4,nostalgic,train
MPATHY-000166,3,surprised,train
MPATHY-000167,4,proud,train
MPATHY-000168,4,surprised,train
MPATHY-000169,3,terrified,train
MPATHY-000170,4,jealous,train
MPATHY-000171,3,caring,train
MPATHY-000172,3,sentimental,train
MPATHY-000173,3,furious,train
MPATHY-000174,4,nostalgic,train
MPATHY-000175,4,afraid,train
MPATHY-000176,3,afraid,train
MPATHY-000177,3,proud,train
MPATHY-000178,3,sad,train
MPATHY-000179,5,caring,train
MPATHY-000180,3,sad,train
MPATHY-000181,3,excited,train
MPATHY-000182,3,excited,train
MPATHY-000183,4,afraid,train
MPATHY-000184,3,impressed,train
MPATHY-000185,3,impressed,train
MPATHY-000186,4,lonely,train
MPATHY-000187,3,afraid,train
MPATHY-000188,4,prepared,train
MPATHY-000189,3,sad,train
MPATHY-000191,4,afraid,train
MPATHY-000192,4,impressed,train
MPATHY-000193,3,surprised,train
MPATHY-000194,3,annoyed,train
MPATHY-000195,3,afraid,train
MPATHY-000196,4,terrified,train
MPATHY-000197,5,surprised,train
MPATHY-000198,3,ashamed,train
MPATHY-000200,4,sentimental,train
MPATHY-000201,3,grateful,train
MPATHY-000202,4,embarrassed,train
MPATHY-000203,3,terrified,train
MPATHY-000204,3,prepared,train
MPATHY-000205,4,grateful,train
MPATHY-000206,4,angry,train
MPATHY-000207,3,hopeful,train
MPATHY-000209,3,annoyed,train
MPATHY-000210,3,joyful,train
MPATHY-000211,3,anxious,train
MPATHY-000212,4,confident,train
MPATHY-000213,3,proud,train
MPATHY-000214,3,surprised,train
MPATHY-000215,3,confident,train
MPATHY-000216,3,hopeful,train
MPATHY-000218,3,trusting,train
